The sample of size 50 of N(5.000000,1.300000) is : 
 	2.865634
 	4.918317
 	3.481206
 	5.946723
 	4.536056
 	5.755722
 	5.741822
 	4.731526
 	6.369139
 	2.096495
 	5.777645
 	6.332999
 	4.748064
 	5.381191
 	5.035794
 	4.794574
 	6.529846
 	6.499872
 	4.672072
 	3.712849
 	4.582318
 	2.476467
 	5.564113
 	4.919059
 	3.296627
 	5.443678
 	3.671613
 	3.999599
 	6.643155
 	4.917182
 	4.061248
 	3.882571
 	5.187791
 	6.162699
 	4.498211
 	5.847683
 	3.950015
 	6.052283
 	4.202006
 	6.187620
 	4.919216
 	5.584102
 	3.768919
 	5.843196
 	4.516302
 	3.682152
 	5.530587
 	3.687174
 	4.815878
 	6.234126

(i)Pr[x>7]=0.040771
(ii)Pr[x<7]=0.959229
(iii)P[2<=X<=6]=0.040771
